Status,Date Signed,Tier,Tier Label,Funder Name,Min. Credit Score,Min. Monthly Revenue,Min. Time in Business,Max Funding Amount,Positions Funded,Factor Rate Range,Repayment Frequency,Funding Speed,Submission Email,CC Emails,Portal URL,Rep Name,Rep Email,Rep Phone,Key Notes
Active ✅,2026-04-22,B,Tier B – Mid-Tier,Amsterdam Capital Group (ACG),500+,$10K+/mo,6+ months,$500000,"1st, 2nd",1.20 - 1.50,Daily/Weekly,24-48 hrs,submissions@acgroupinc.com,"mhench@acgroupinc.com, offers@acgroupinc.com",,Aleeya Hussain (COO); Brian Corso,,,ISO Agreement signed via HelloSign 4/22. Docs: 3 months bank stmts + signed app within 30 days (4 months for CA or NY). Offers come from offers@acgroupinc.com. CC mhench@ on submissions.
Active ✅,2026-04-23,C,Tier C – Flexible,Slim Business Funding (SBFG),450+,$7K+/mo,4+ months,$1000000,"2nd+ (1st pos restaurants only)",1.25 - 1.50+,Daily/Weekly,24-48 hrs,deals@slimbusinessfunding.com,joseph@slimbusinessfunding.com,,Joseph Maack (ISO Manager),joseph@slimbusinessfunding.com,845-662-9112,"2nd+ position – all states including TX. Funds reverse positions. Funds previously passed deals that satisfy defaults. 1st position: restaurants only. Up to $1M. Up to 13 pts commission. ISO agreement signed via DocuSign 4/23."
Active ✅,2026-04-29,C,Tier C – Flexible,Accord Business Funding,450+,$7K+/mo,4+ months,$400000,"1st thru 3rd",1.20 - 1.50+,Daily/Weekly,24-48 hrs,underwriting@accordbf.com,idelatorre@accordbf.com,,Isabella De La Torre,idelatorre@accordbf.com,404-798-7404,"FULLY ONBOARDED 4/29. Subject line: ""New Deal. Merchant Name"". Docs: completed merchant app + 3 months bank stmts (4 months for CA or NY). Q2 Spiff through June 30: +1pt 1st deal funded, +2pts 2nd deal, +3pts 3rd deal. Portal: https://accordbf.com/"
Active ✅,2026-05-01,C,Tier C – Flexible,Elevate Funding,450+,$7K+/mo,4+ months,$400000,"1st thru 3rd",1.25 - 1.50+,Daily,24-48 hrs,,,,,,,,"ISO Agreement signed 5/1 via OneSpan e-Sign. Awaiting full onboarding details from lender."
Pending ⏳,2026-04-23 (interview 5/1),B,Tier B – Mid-Tier,Everest Business Funding / Vader Mountain Capital,500+,$10K+/mo,6+ months,$500000,"1st, 2nd",1.20 - 1.50,Daily/Weekly,24-48 hrs,,,,,,,"ISO Agreement sent via DocuSign 4/23 + 4/27. Phone interview scheduled 5/1 at 11am EDT. Final stage – should be confirmed soon."
Pending ⏳,2026-04-27,C,Tier C – Flexible,Spartan Capital Group,450+,$7K+/mo,4+ months,$300000,"2nd thru 4th",1.25 - 1.50+,Daily,24-48 hrs,,,,,Michelle Correa,,,ISO Intake Form sent via SignNow 4/27. Emailed 5/1. Still need: DL + VC + EIN + K-1 + W9 + office photo + 10-min screening video call. WAITING FOR ISO AGREEMENT.
Pending ⏳,2026-04-27,C,Tier C – Flexible,FundPro Solutions,450+,$7K+/mo,4+ months,$300000,"1st thru 3rd",1.25 - 1.50+,Daily,24-48 hrs,,,,,Brandon Bartoro,,,ISO Agreement signed via SignNow 4/27. No official welcome/approval email confirmed yet. Follow up.
Pending ⏳,2026-04-22,C,Tier C – Flexible,Accord Business Funding – DONE (see Active),,,,,,,,,,,,,,,,"MOVED TO ACTIVE – see row above"
Pending ⏳,2026-04-20,B,Tier B – Mid-Tier,United Capital Source (UCS),500+,$10K+/mo,6+ months,$500000,"1st, 2nd",1.15 - 1.45,Daily/Weekly,24-72 hrs,,,,Colleen Spizuoco,,,ISO Agreement coming via PandaDoc. Intro from Colleen 4/20. Submission instructions provided but agreement not yet signed.
Pending ⏳,2026-04-21,C,Tier C – Flexible,Casa Capital,450+,$7K+/mo,4+ months,$250000,"2nd thru 4th",1.25 - 1.50+,Daily,24-48 hrs,,,,,Stephanie Casa,,,ISO package sent via SignNow 4/21. Need to return: DL + VC + W9. Awaiting UW guidelines.
Research 📋,,A+,Tier A+ – Premium,Radix Financial Group,680+,,2 years,$500000,1st,10%,Monthly,2 weeks,abe@radixfinancialgroup.com,,,Abe,,https://radixfinancialgroup.com/sba-express/,SBA Express loans. 2 years taxes required. Need to sign up.
Research 📋,,A,Tier A – Premium,CAN Capital,550+,$10K+/mo,6+ months,$250000,1st,,Daily/Weekly,24-48 hrs,,,,,,,"One of oldest MCA providers (est. 1998). A-B paper. Strong first position lender. Need to sign up."
Research 📋,,A,Tier A – Premium,OnDeck,625+,$8.3K+/mo,1+ year,$250000,1st,N/A (APR-based),Daily/Weekly,Same day,,,https://www.ondeck.com/partners,,,,"Not technically MCA – term loans & LOC. Very reputable. No UCC-1 on LOC. Not avail in ND. Need to sign up."
Research 📋,,A,Tier A – Premium,Mulligan Funding,550+,$10K+/mo,6+ months,$500000,1st,1.10 - 1.40,Daily/Weekly,24-48 hrs,submissions@mulliganfunding.com,,,,,,Strong A-B paper lender. Well-regarded by ISOs. Need to sign up.
Research 📋,,A,Tier A – Premium,Libertas Funding,630+,$150K+/mo,1+ year,$5000000,1st,1.05 - 1.30,Daily/Weekly/Bi-weekly,Same day possible,,,,,,,"High revenue threshold. Revenue-based financing. Up to 25% prepayment discount. Term loans to $2.5M. Need to sign up."
Research 📋,,A,Tier A – Premium,Kapitus,625+,$15K+/mo,1+ year,$500000,1st,1.10 - 1.40,Daily/Weekly,24-72 hrs,isosubmissions@kapitus.com,,,,,,Multi-product lender since 2006. Equipment up to $2M. SBA 7(a) and 504. Need to sign up.
Research 📋,,A,Tier A – Premium,Credibly,500+,$15K+/mo,6+ months,$600000,"1st (some 2nd)",1.09 - 1.45,Daily,24 hrs,submissions@credibly.com,,,,,,Also offers WC loans. $50/mo admin fee + 2.5% UW fee on MCAs. Very flexible eligibility. Need to sign up.
Research 📋,,A,Tier A – Premium,Rapid Finance,580+,$5K+/mo CC sales,3+ years,$500000,1st,1.15 - 1.45,Daily,Same day,submissions@rapidfinance.com,,,,,,Multi-product since 2005. WC + SBA + term loans + LOC + invoice factoring. Need to sign up.
Research 📋,,A,Tier A – Premium,Fora Financial,500+,$20K+/mo,6+ months,$1500000,"1st, 2nd",1.13 - 1.45,Daily/Weekly,24-72 hrs,submissions@forafinancial.com,,,,,,Up to $1.5M. 60% paydown for renewal. Early repayment discounts. Est. 2008. Need to sign up.
Research 📋,,B,Tier B – Mid-Tier,Greenbox Capital,550+,$7.5K+/mo,6+ months,$500000,"1st, 2nd",1.15 - 1.45,Daily/Weekly,24-48 hrs,,,,,,,Funds US + Puerto Rico + Canada. 70-120% of monthly revenue. Need to sign up.
Research 📋,,B,Tier B – Mid-Tier,Expansion Capital,500+,$8.3K+/mo,6+ months,$500000,"1st, 2nd",1.15 - 1.50,Daily/Weekly,24-48 hrs,,,,,,,"Good for startups. Low minimums. B-C paper. Need to sign up."
Research 📋,,B,Tier B – Mid-Tier,Kalamata Capital,500+,$10K+/mo,6+ months,$300000,"1st, 2nd, 3rd",1.20 - 1.50,Daily/Weekly,24-48 hrs,,,,,,,"Known for 2nd/3rd position strength. B-C paper. Need to sign up."
Research 📋,,B,Tier B – Mid-Tier,LG Funding,500+,$10K+/mo,6+ months,$500000,"1st, 2nd, 3rd",1.20 - 1.50,Daily/Weekly,24-48 hrs,,,,,,,"Strong 2nd position reputation. Known for working with stacked deals. Need to sign up."
Research 📋,,B,Tier B – Mid-Tier,Hunter Capital,500+,$10K+/mo,6+ months,$300000,"1st, 2nd",1.20 - 1.50,Daily/Weekly,24-48 hrs,submissions@huntercaroline.com,,,,,,,"Known for 2nd position deals. B-C paper. Good broker relationships. Need to sign up."
Research 📋,,C,Tier C – Flexible,Fox Business Funding,450+,$7K+/mo,4+ months,$250000,"1st thru 5th",1.25 - 1.50+,Daily,24 hrs,,,,,,,"Works deep positions. D paper accepted. Higher factor rates. Need to sign up."
Research 📋,,C,Tier C – Flexible,Mantis Funding,450+,$7K+/mo,4+ months,$300000,"1st thru 4th",1.20 - 1.50+,Daily/Weekly,24-48 hrs,,,,,,,"Flexible on positions and credit. C-D paper. Works with challenged merchants. Need to sign up."
Research 📋,,C,Tier C – Flexible,Lendini,450+,$7K+/mo,3+ months,$250000,"2nd thru 5th",1.25 - 1.50+,Daily,24 hrs,,,,,,,Deep position specialist. CAUTION: some reports of back-dooring. No 1st trucking/construction/car sales/jewelry. Need to sign up.
Research 📋,,C,Tier C – Flexible,Fund So Fast,500+,$8K+/mo,6+ months,$300000,"1st, 2nd",1.20 - 1.50,Daily/Weekly,24 hrs,,,,,,,"Quick turnaround. B-C paper. Good for speed-sensitive deals. Need to sign up."
Research 📋,,C,Tier C – Flexible,Bitty Advance,450+,$7K+/mo,4+ months,$250000,"2nd thru 4th",1.25 - 1.50+,Daily,24 hrs,,,,,,,"Known for 2nd+ position. Higher rates for stacked deals. Soft hold as of 3/3 (""close at this time but will consider""). Revisit."
